number,english,chinese
001,Stick out your thumb,伸出大拇指
002,Thump your chest,捶胸口
003,High five,击掌
004,Clap your hands,拍拍手
005,Stomp your feet,跺跺脚
006,Wave your arms,挥动双臂
007,Wave your hands,挥动双手
008,Wiggle your fingers,扭动手指
009,Straighten your arms,伸直手臂
010,Cross your arms,交叉双臂
011,Grab your ears,抓住耳朵
012,Grab my arms,抓住我的手臂
013,Touch your chin,摸摸下巴
014,Pinch your tummy,捏肚子
015,Pinch your leg,捏腿
016,Pinch your bottom,捏屁股
017,Do a fist pump,握拳鼓劲
018,Comb your hair,梳头
019,Point to your nose,指鼻子
020,Touch your belly button,摸摸肚脐眼
021,Rub your earlobe,摸耳垂
022,Touch your elbows,摸摸手肘
023,Rub your tummy,揉揉肚子
024,Rub your arm,揉揉手臂
025,Rub your hands,搓搓手
026,Tap your nose,点点鼻子
027,Pull your ears,揪耳朵
028,Pull your hair,扯头发
029,Shake your head,摇摇头
030,Shake your shoulders,晃肩膀
031,Shake your fingers,抖动手指
032,Shake your legs,晃腿
033,Shake your feet,晃脚
034,Shake your toes,晃脚趾头
035,Snap your fingers,打个响指
036,Put your hands up,举起双手
037,Point your finger up,手指向上
038,Point your finger down,手指向下
039,Sit down,坐下
040,Stand up,站起来
041,Make a sad face,做个伤心的表情
042,Make an angry face,做个愤怒的表情
043,Make a scared face,做个害怕的表情
044,Make a sleepy face,做个困倦的表情
045,Blink your eyes,眨眼睛
046,Close your eyes,闭上眼睛
047,Open your eyes,睁开眼睛
048,Open your mouth,张开嘴巴
049,Touch your eyebrow,摸眉毛
050,Touch your eyelashes,摸睫毛
051,Touch your mouth,摸嘴巴
052,Touch your face,摸摸脸
053,Touch your head,摸摸头
054,Touch your nose,摸鼻子
055,Touch your cheeks,摸脸颊
056,Pinch your cheek,捏脸颊
057,Pinch your face,捏脸
058,Pinch your nose,捏鼻子
059,Cover your ears,捂住耳朵
060,Cover your eyes,捂住眼睛
061,Cover your mouth,捂住嘴巴
062,Sniff with your nose,用鼻子嗅一嗅
063,Give a big yawn,打个大哈欠
064,Rub your eyes,揉眼睛
065,Rub your face,揉揉脸
066,Puff out your cheeks,鼓起脸颊
067,Stick out your tongue,伸舌头
068,Lick your lips,舔舔嘴唇
069,Put your tongue back in,把舌头收回去
070,Blow a kiss,飞吻
071,Lift your chin,抬下巴
072,Nod your head,点头
073,Turn your head,转头
074,Wink,眨一只眼睛
075,Wipe your mouth,擦嘴巴
076,Take a deep breath,深呼吸
077,Raise your head,抬头
078,Furrow your eyebrows,皱眉
079,Make a happy face,做个开心的表情
080,Take a photo,照相
081,Turn on the faucet,打开水龙头
082,Turn on the TV,打开电视
083,Turn on the computer,打开电脑
084,Turn on the light,打开灯
085,Hang it up,挂起来
086,Run quickly,跑快点
087,Hop,单腿跳
088,Walk,走
089,Crawl,爬行
090,Jump,跳
091,Skip,蹦蹦跳跳
092,Press the button,按按钮
093,Press your coat,按住你的衣服
094,Eat breakfast,吃早饭
095,Eat lunch,吃午饭
096,Eat dinner,吃晚饭
097,Eat an apple,吃苹果
098,Eat a banana,吃香蕉
099,Drink some water,喝水
100,Drink some milk,喝奶
